"","text","emotion","polarity"
"117","this is proof chinese vaccine sinovac biotech has very low efficacy why are chin","sadness","negative"
"118","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"119","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"120","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"121","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"122","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"123","why did ankara select the sinovac vaccine against covid19 and is china using this to push for some concessions","surprise","neutral"
"124","in china a dangerous situation is unfolding as state media have launched disinformation campaigns to hit back aga","fear","neutral"
"125","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18","disgust","positive"
"126","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"127","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"128","in indonesia president jokowi received 1st dose of chinas sinovac vaccine on 13 jan kicking off the national immun","anger","positive"
"129","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"130","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"131","bias of rico by referring to sinovac amp sinopharm as drug makers 

pharmaceutical","anger","negative"
"132","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"133","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"134","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18","disgust","positive"
"135","anybody out there excited by the russian or sinovac vaccine i am definitely not in that camp","joy","positive"
"136","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"137","chinas big bet pays off beijing reaps rewards with major vaccine expo deals
","joy","positive"
"138","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"139","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"140","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"141","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen","joy","positive"
"142","new data in brazil found that the effectiveness of coronavac the covidvaccine of sinovac was 504at prevent","fear","positive"
"143","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"144","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"145","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"146","would you vaccinate or not 

vaccinated vaccine coronavirusvaccine pfizerbiontech astrazeneca pfizer","surprise","positive"
"147","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"148","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"149","the southeast asian country has become the first in the world to approve the sinovac covid19 vaccineoutside o","joy","positive"
"150","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"151","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"152","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"153","president rodrigo dutee is still willing to receive the first dose of coronavirus disease 2019 covid19","joy","neutral"
"154","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"155","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"156","pmhas approved sinovac andcovid19 vaccines in iraqmy sincere greetings and luck for","joy","positive"
"157","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"158","brazil stas vaccination as doria scores points against bolsonarocovid19 vaccine","surprise","positive"
"159","pakistan on monday approved the chinese sinopharm covid19 vaccine for emergency use 2 days after astrazenecas vaccine de","fear","positive"
"160","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"161","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"162","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"163","middle east what is the vaccination policy in your country 
 from over 120 countries are discussing th","surprise","positive"
"164","how effective is a single dose of covid19 vaccineiwonder vaccination pfizer moderna sinovac sputnik 🦠🏻","surprise","positive"
"165","middle east what is the vaccination policy in your country 
 from over 120 countries are discussin","surprise","positive"
"166","pakistan on monday approved the chinese sinopharm covid19 vaccine for emergency use 2 days after astrazenecas v","fear","positive"
"167","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"168","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"169","turkish couple they help develop pfizer vaccine but in turkey country they used sinovac vaccinewhy o whypfizers","fear","positive"
"170","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"171","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
